,Id,PID,MS SubClass,MS Zoning,Street,Land Contour,Neighborhood,Condition 1,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,BsmtFin SF 1,Total Bsmt SF,Heating QC,Central Air,Electrical,Gr Liv Area,Full Bath,Half Bath,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Finish,Garage Cars,Garage Area,Paved Drive,Sale Type,SalePrice
17,770,905101490,20,RL,Pave,Lvl,Sawyer,Feedr,5,1963,1963,0.0,TA,TA,PConc,651.0,1121.0,TA,Y,SBrkr,1121,1,0,TA,5,Typ,0,Detchd,Unf,2.0,480.0,Y,WD ,139000
18,2063,905107140,20,RL,Pave,Lvl,Sawyer,Norm,6,1977,1977,148.0,TA,TA,CBlock,0.0,660.0,Ex,Y,SBrkr,1285,1,1,TA,7,Typ,1,Attchd,RFn,2.0,528.0,Y,WD ,143500
19,69,528458070,60,FV,Pave,Lvl,Somerst,Norm,7,2009,2009,0.0,TA,TA,PConc,24.0,756.0,Ex,Y,SBrkr,1547,2,1,Gd,7,Typ,0,Attchd,Unf,2.0,614.0,Y,Con,215200
20,2062,905106150,20,RL,Pave,Lvl,Sawyer,Norm,5,1968,1968,0.0,TA,TA,CBlock,492.0,894.0,Gd,Y,SBrkr,894,1,0,TA,5,Typ,1,Attchd,Fin,2.0,450.0,Y,WD ,129000
21,351,527131030,120,RL,Pave,Lvl,StoneBr,Norm,8,2000,2000,0.0,Gd,TA,PConc,1158.0,1501.0,Ex,Y,SBrkr,1659,2,0,Ex,5,Typ,1,Attchd,Fin,2.0,499.0,Y,WD ,278000
22,2393,528142010,60,RL,Pave,Lvl,NridgHt,Norm,8,2005,2006,-1.0,Gd,TA,PConc,0.0,1209.0,Ex,Y,SBrkr,2253,2,1,Ex,8,Typ,1,Attchd,Fin,2.0,575.0,Y,New,344133
23,12,527165230,20,RL,Pave,Lvl,Gilbert,Norm,6,1992,2007,0.0,TA,Gd,PConc,935.0,1168.0,Ex,Y,SBrkr,1187,2,0,TA,6,Typ,0,Attchd,Fin,2.0,420.0,Y,WD ,185000
24,2339,527250040,190,RL,Pave,Bnk,Gilbert,Norm,5,1955,1955,0.0,TA,TA,CBlock,1056.0,1056.0,TA,N,SBrkr,1056,1,0,TA,5,Typ,0,Attchd,Fin,2.0,572.0,Y,WD ,145000
25,624,535104120,20,RL,Pave,Lvl,NAmes,Norm,6,1961,1961,3.0,TA,TA,CBlock,1312.0,1453.0,Ex,Y,SBrkr,1453,2,0,TA,6,Typ,1,Attchd,RFn,2.0,530.0,Y,WD ,187500
26,86,532376160,20,RL,Pave,Lvl,Sawyer,RRAe,5,1965,2009,0.0,TA,Gd,CBlock,553.0,894.0,Ex,Y,SBrkr,894,1,0,TA,5,Typ,1,Detchd,Unf,1.0,336.0,Y,WD ,138500
27,1534,909277040,50,RL,Pave,HLS,Crawfor,Norm,5,1937,1995,0.0,TA,TA,CBlock,606.0,942.0,Ex,Y,SBrkr,1938,2,0,Gd,7,Min2,1,Detchd,Unf,1.0,240.0,Y,WD ,198000
28,2243,911103060,190,C (all),Pave,Lvl,IDOTRR,Feedr,5,1895,2006,0.0,TA,Gd,CBlock,0.0,957.0,Fa,N,SBrkr,1991,2,0,TA,9,Typ,0,NA,NA,0.0,0.0,N,WD ,119600
29,1957,535450190,50,RL,Pave,Lvl,NAmes,Artery,5,1949,2006,0.0,TA,Gd,CBlock,0.0,672.0,Ex,Y,SBrkr,924,1,0,TA,6,Typ,1,Detchd,Unf,2.0,576.0,Y,WD ,122900
30,380,527355150,20,RL,Pave,Lvl,NWAmes,PosN,8,1981,1981,0.0,Gd,TA,PConc,1104.0,2524.0,TA,Y,SBrkr,2524,2,1,Gd,9,Typ,1,Attchd,Fin,2.0,542.0,Y,WD ,278000
31,2860,909276010,70,RL,Pave,HLS,Crawfor,Norm,8,1929,1950,0.0,TA,TA,PConc,0.0,792.0,Fa,Y,SBrkr,1517,1,0,Gd,7,Typ,2,Detchd,Unf,2.0,400.0,Y,WD ,230000
32,2517,533250130,120,RL,Pave,Lvl,Veenker,Norm,8,1995,1996,0.0,Gd,Gd,PConc,437.0,1494.0,Ex,Y,SBrkr,1494,1,1,Ex,6,Typ,1,Attchd,Fin,2.0,481.0,Y,WD ,270000
33,1933,535302070,20,RL,Pave,Lvl,NAmes,Norm,6,1952,1952,0.0,TA,TA,CBlock,441.0,948.0,TA,Y,SBrkr,948,1,0,TA,5,Typ,0,Detchd,Unf,2.0,410.0,N,WD ,125000
34,820,906340110,20,RL,Pave,Lvl,CollgCr,Norm,8,2007,2008,336.0,Gd,TA,PConc,1288.0,1705.0,Ex,Y,SBrkr,1718,2,0,Gd,7,Typ,1,Attchd,RFn,3.0,826.0,Y,WD ,297000
35,675,535426150,20,RL,Pave,HLS,NAmes,Norm,6,1958,1958,82.0,TA,TA,CBlock,0.0,160.0,Fa,Y,SBrkr,1142,1,0,TA,5,Typ,1,Basment,RFn,1.0,384.0,Y,WD ,113500
36,2910,923225240,160,RM,Pave,Lvl,MeadowV,Norm,5,1977,1977,0.0,TA,TA,PConc,548.0,757.0,Ex,Y,SBrkr,1475,2,0,TA,6,Typ,1,Attchd,RFn,1.0,336.0,Y,WD ,127000
37,21,527358140,20,RL,Pave,Lvl,NWAmes,Norm,6,1977,1977,480.0,TA,TA,CBlock,705.0,1844.0,Ex,Y,SBrkr,1844,2,0,TA,7,Typ,1,Attchd,RFn,2.0,546.0,Y,COD,190000
38,1873,534177210,20,RL,Pave,Lvl,NWAmes,Norm,7,1973,1973,320.0,TA,TA,CBlock,916.0,1242.0,Fa,Y,SBrkr,1242,1,1,TA,6,Typ,1,Attchd,Unf,2.0,528.0,Y,WD ,175500
39,2125,907135050,20,RL,Pave,Lvl,CollgCr,Norm,5,1994,1994,0.0,TA,Gd,PConc,420.0,990.0,Ex,Y,SBrkr,990,1,0,TA,5,Typ,0,Detchd,Unf,1.0,384.0,Y,WD ,146000
40,1489,908102260,20,RL,Pave,Lvl,Edwards,Norm,5,1965,1965,0.0,Gd,TA,CBlock,830.0,1256.0,Gd,Y,SBrkr,1256,1,1,TA,6,Typ,0,Attchd,Fin,1.0,276.0,Y,WD ,147500
41,2383,528110050,20,RL,Pave,Lvl,NridgHt,Norm,10,2006,2006,-1.0,Ex,TA,PConc,1386.0,2076.0,Ex,Y,SBrkr,2076,2,1,Ex,7,Typ,1,Attchd,Fin,3.0,850.0,Y,New,465000
42,983,923275040,85,RL,Pave,Lvl,Mitchel,Norm,5,1978,1978,104.0,TA,Gd,PConc,1097.0,1097.0,Ex,Y,SBrkr,1110,1,0,Gd,4,Typ,1,Attchd,Fin,2.0,602.0,Y,WD ,165500
43,1325,902406090,50,RM,Pave,Lvl,OldTown,Norm,5,1954,1954,335.0,TA,TA,BrkTil,0.0,1050.0,Ex,N,FuseF,1795,2,0,TA,7,Typ,0,Attchd,Unf,1.0,352.0,Y,WD ,131500
44,1378,905102170,20,RL,Pave,Lvl,Sawyer,Norm,5,1965,1965,0.0,TA,TA,CBlock,906.0,1040.0,Ex,Y,SBrkr,1040,1,0,TA,5,Typ,0,Detchd,Unf,1.0,384.0,Y,WD ,129500
45,1537,909281110,70,RL,Pave,HLS,Crawfor,Norm,8,1935,1950,40.0,TA,TA,PConc,210.0,608.0,TA,Y,SBrkr,1873,1,1,TA,9,Typ,2,Detchd,Fin,2.0,786.0,Y,WD ,257076
46,905,909101140,50,RL,Pave,Lvl,Edwards,Norm,5,1941,1960,0.0,TA,TA,CBlock,408.0,984.0,Ex,Y,SBrkr,1604,2,0,TA,6,Min2,0,Detchd,Unf,2.0,660.0,Y,WD ,117000
47,1532,909275050,70,RL,Pave,HLS,Crawfor,Norm,7,1931,2000,0.0,TA,Fa,BrkTil,0.0,776.0,TA,Y,SBrkr,1502,1,1,TA,6,Typ,1,Attchd,RFn,1.0,270.0,P,WD ,149000
48,132,534475100,20,RL,Pave,Lvl,NAmes,Norm,5,1954,1954,110.0,TA,TA,CBlock,354.0,1056.0,TA,Y,SBrkr,1063,1,0,TA,6,Typ,0,Attchd,RFn,1.0,280.0,Y,WD ,128000
49,1078,528188090,160,RL,Pave,Lvl,NridgHt,Norm,7,2003,2004,106.0,Gd,TA,PConc,0.0,764.0,Ex,Y,SBrkr,1626,2,1,Gd,6,Typ,0,BuiltIn,RFn,2.0,474.0,Y,WD ,155000
50,2511,533221080,160,FV,Pave,Lvl,Somerst,Norm,6,2000,2000,513.0,Gd,TA,PConc,353.0,756.0,Ex,Y,SBrkr,1524,2,1,Gd,4,Typ,0,Detchd,Unf,2.0,440.0,Y,WD ,166000
51,912,909250220,50,RL,Pave,Lvl,SWISU,Norm,4,1928,1950,0.0,TA,TA,BrkTil,622.0,1122.0,TA,Y,SBrkr,1981,2,0,Gd,7,Min2,2,Detchd,Unf,2.0,576.0,Y,WD ,135000
52,2351,527356020,60,RL,Pave,Lvl,NWAmes,RRAn,7,1978,1978,184.0,TA,TA,CBlock,790.0,1392.0,TA,Y,SBrkr,2784,3,1,Gd,12,Typ,2,Attchd,RFn,2.0,564.0,Y,WD ,250000
53,330,923226250,160,RM,Pave,Lvl,MeadowV,Norm,4,1970,1970,0.0,TA,TA,CBlock,176.0,546.0,Ex,Y,SBrkr,1092,1,1,TA,5,Typ,0,NA,NA,0.0,0.0,Y,WD ,76000
54,2586,535305120,20,RL,Pave,Lvl,NAmes,Norm,6,1951,1951,522.0,TA,TA,CBlock,0.0,216.0,TA,Y,SBrkr,1575,1,1,Gd,5,Typ,1,Attchd,Unf,2.0,400.0,Y,WD ,155000
55,224,905106140,60,RL,Pave,Lvl,Sawyer,Norm,6,1969,1969,143.0,TA,TA,CBlock,371.0,663.0,TA,Y,SBrkr,1352,1,1,TA,7,Typ,0,Attchd,Fin,1.0,299.0,Y,WD ,158000
56,98,533212020,160,FV,Pave,Lvl,Somerst,Norm,7,2004,2005,0.0,Gd,TA,PConc,368.0,600.0,Ex,Y,SBrkr,1200,2,1,Gd,4,Typ,0,Detchd,RFn,2.0,480.0,Y,WD ,149500
57,2565,534479300,20,RL,Pave,Lvl,NAmes,Norm,5,1954,1975,0.0,TA,Gd,CBlock,486.0,936.0,TA,Y,FuseA,936,1,0,TA,5,Typ,0,Attchd,Unf,1.0,240.0,Y,WD ,121000
58,1934,535304170,20,RL,Pave,Lvl,NAmes,Norm,6,1953,1953,0.0,TA,TA,CBlock,85.0,1040.0,TA,Y,FuseF,1040,1,0,TA,6,Typ,0,Attchd,Fin,1.0,293.0,Y,WD ,136000
59,997,527107010,60,RL,Pave,Lvl,Gilbert,Norm,6,1996,1996,0.0,TA,TA,PConc,138.0,916.0,Gd,Y,SBrkr,1636,2,1,TA,7,Typ,1,Attchd,Fin,2.0,386.0,Y,WD ,173000
60,64,528382020,60,RL,Pave,Lvl,NoRidge,Norm,8,1999,2007,348.0,Gd,TA,PConc,524.0,1152.0,Ex,Y,SBrkr,2270,2,1,Gd,9,Typ,1,Attchd,Fin,3.0,671.0,Y,WD ,290000
61,1799,528458130,60,FV,Pave,Lvl,Somerst,Norm,8,2007,2007,0.0,Gd,TA,PConc,64.0,1184.0,Ex,Y,SBrkr,2610,2,1,Ex,11,Typ,1,BuiltIn,Fin,2.0,550.0,Y,New,303477
62,230,905109170,20,RL,Pave,Low,ClearCr,Norm,7,1977,2001,0.0,Gd,Gd,CBlock,1092.0,1420.0,Gd,Y,SBrkr,1483,1,1,TA,4,Typ,2,Attchd,RFn,2.0,690.0,Y,WD ,270000
63,1295,902109160,50,RM,Pave,Lvl,OldTown,Artery,5,1920,1950,0.0,Fa,Fa,BrkTil,360.0,936.0,Gd,N,FuseA,1740,1,0,Ex,6,Typ,1,Detchd,Unf,1.0,225.0,N,WD ,122250
64,638,535178120,20,RL,Pave,Lvl,NAmes,Norm,5,1955,1955,0.0,TA,TA,CBlock,172.0,1382.0,Gd,Y,FuseA,1382,1,0,Gd,6,Typ,0,Attchd,Unf,1.0,350.0,Y,WD ,153000
65,2278,923202134,20,RL,Pave,Lvl,Mitchel,Feedr,5,2007,2007,0.0,TA,TA,PConc,206.0,1120.0,Ex,Y,SBrkr,1120,1,0,TA,6,Typ,0,NA,NA,0.0,0.0,Y,New,147000
66,2202,909252150,70,RL,Pave,Lvl,Crawfor,Norm,7,1930,1995,0.0,TA,TA,BrkTil,246.0,531.0,TA,Y,SBrkr,1098,1,0,TA,5,Typ,1,Detchd,Unf,1.0,216.0,Y,WD ,148500
67,2833,908188150,160,RM,Pave,Lvl,Edwards,Norm,7,2004,2004,117.0,Gd,TA,PConc,0.0,976.0,Ex,Y,SBrkr,1708,2,0,Gd,7,Maj1,0,Detchd,Unf,2.0,380.0,Y,WD ,130000
68,1707,528150040,20,RL,Pave,HLS,NridgHt,Norm,9,2006,2006,510.0,Ex,TA,PConc,0.0,1802.0,Ex,Y,SBrkr,1802,2,1,Ex,7,Typ,1,Attchd,Fin,3.0,843.0,Y,WD ,372000
69,2428,528228565,120,RL,Pave,Lvl,Blmngtn,Norm,7,2005,2005,145.0,Gd,TA,PConc,16.0,1362.0,Ex,Y,SBrkr,1506,2,0,Gd,6,Typ,1,Attchd,Fin,2.0,440.0,Y,WD ,213490
70,242,905453080,20,RL,Pave,Lvl,Edwards,Norm,7,2009,2010,96.0,Gd,TA,PConc,1346.0,1508.0,Ex,Y,SBrkr,1508,1,0,Gd,5,Typ,2,Attchd,RFn,2.0,572.0,Y,Con,308030
71,1564,914453045,20,RL,Pave,Lvl,Mitchel,Norm,7,1996,1997,668.0,Gd,TA,PConc,700.0,1840.0,Ex,Y,SBrkr,2032,3,0,Gd,7,Typ,0,Attchd,Fin,3.0,786.0,Y,WD ,300000
72,2613,535403150,20,RL,Pave,Lvl,NAmes,Norm,6,1959,1959,0.0,TA,TA,CBlock,655.0,655.0,Ex,Y,SBrkr,1194,1,0,TA,6,Typ,1,BuiltIn,Fin,2.0,539.0,Y,WD ,159500
73,2832,908188140,160,RM,Pave,Lvl,Edwards,Norm,7,2004,2004,50.0,Gd,TA,PConc,0.0,970.0,Ex,Y,SBrkr,1709,2,0,Gd,7,Maj1,0,Detchd,Unf,2.0,380.0,Y,WD ,137500
74,2459,528439030,20,RL,Pave,Lvl,Somerst,Norm,7,2005,2005,228.0,Gd,TA,PConc,0.0,1616.0,Ex,Y,SBrkr,1616,2,0,Gd,7,Typ,0,Attchd,RFn,3.0,834.0,Y,WD ,232000
75,1360,903452025,30,RM,Grvl,Lvl,IDOTRR,RRNe,6,1930,1950,0.0,Gd,Gd,BrkTil,0.0,768.0,TA,Y,SBrkr,768,1,0,TA,4,Typ,0,Detchd,Unf,2.0,440.0,N,WD ,93850
76,2723,905200380,30,RL,Pave,Lvl,Sawyer,Norm,5,1924,1950,65.0,TA,TA,BrkTil,0.0,872.0,Fa,N,FuseF,872,1,0,Fa,5,Mod,1,Detchd,Unf,1.0,322.0,N,WD ,105000
77,1350,903235100,30,RM,Pave,Lvl,BrkSide,Feedr,4,1927,1950,0.0,TA,TA,BrkTil,0.0,520.0,Fa,N,SBrkr,520,1,0,Fa,4,Typ,0,Detchd,Unf,1.0,240.0,Y,WD ,68500
78,136,535106190,90,RL,Pave,Lvl,NAmes,Feedr,5,1960,1960,361.0,TA,TA,CBlock,443.0,1105.0,TA,Y,FuseA,2274,2,0,TA,12,Typ,0,Detchd,Unf,2.0,480.0,Y,WD ,154300
79,2235,910201050,50,RM,Pave,Lvl,IDOTRR,Artery,5,1925,2003,0.0,Gd,Gd,BrkTil,0.0,936.0,Ex,Y,SBrkr,1601,2,0,TA,6,Typ,0,NA,NA,0.0,0.0,N,WD ,129850
80,1993,902301130,70,RM,Pave,Lvl,OldTown,Norm,5,1910,1950,0.0,TA,TA,BrkTil,168.0,616.0,Ex,Y,SBrkr,1232,1,0,TA,6,Typ,0,Detchd,Unf,2.0,480.0,Y,WD ,114000
81,367,527214050,20,RL,Pave,Lvl,StoneBr,Norm,9,2008,2009,748.0,Ex,TA,PConc,1904.0,2216.0,Ex,Y,SBrkr,2234,2,0,Ex,9,Typ,1,Attchd,Fin,3.0,1166.0,Y,New,501837
82,1309,902300215,50,RM,Pave,Lvl,OldTown,Artery,5,1915,1950,0.0,TA,TA,BrkTil,0.0,876.0,Gd,Y,SBrkr,1416,1,1,TA,7,Typ,1,Detchd,Unf,3.0,720.0,Y,WD ,153900
83,402,527425110,20,RL,Pave,Lvl,NAmes,Norm,4,1971,2006,0.0,TA,Gd,CBlock,240.0,864.0,Gd,Y,SBrkr,864,1,0,TA,5,Typ,0,Detchd,Unf,2.0,576.0,Y,WD ,130000
84,1592,923203140,120,RM,Pave,Lvl,Mitchel,Norm,6,1997,1997,197.0,TA,TA,PConc,864.0,1189.0,Ex,Y,SBrkr,1189,2,0,TA,4,Typ,0,Attchd,RFn,2.0,392.0,Y,WD ,160500
85,2409,528186110,120,RL,Pave,Lvl,NridgHt,Norm,9,2006,2006,572.0,Ex,TA,PConc,415.0,1666.0,Ex,Y,SBrkr,1666,2,0,Gd,6,Typ,1,Attchd,RFn,2.0,575.0,Y,New,310090
86,539,531371050,20,RL,Pave,Lvl,SawyerW,Norm,7,2003,2003,-1.0,Gd,TA,PConc,833.0,1176.0,Ex,Y,SBrkr,1200,2,0,Gd,5,Typ,0,Attchd,RFn,2.0,555.0,Y,WD ,184900
87,1940,535327200,20,RL,Pave,Lvl,NAmes,Norm,5,1956,2000,0.0,TA,TA,CBlock,377.0,928.0,TA,Y,SBrkr,928,1,0,TA,4,Typ,0,Attchd,Unf,1.0,252.0,Y,WD ,132000
88,588,534129370,20,RL,Pave,Lvl,NWAmes,Feedr,5,1969,1969,128.0,TA,TA,CBlock,553.0,1288.0,TA,Y,SBrkr,1336,2,0,TA,6,Typ,1,Attchd,RFn,2.0,502.0,Y,WD ,163000
89,96,533210060,160,FV,Pave,Lvl,Somerst,Norm,7,2004,2004,120.0,Gd,TA,PConc,280.0,600.0,Ex,Y,SBrkr,1200,2,1,Gd,4,Typ,0,Detchd,RFn,2.0,480.0,Y,ConLD,155000
90,1187,534127210,80,RL,Pave,Lvl,NWAmes,Norm,6,1969,1969,0.0,TA,TA,CBlock,828.0,1427.0,Gd,Y,SBrkr,1427,2,0,TA,7,Typ,0,Attchd,RFn,2.0,516.0,Y,WD ,183000
91,2154,907280090,60,RL,Pave,Lvl,CollgCr,Norm,7,1996,2002,254.0,Gd,TA,PConc,762.0,860.0,Ex,Y,SBrkr,1992,2,1,Gd,7,Min2,2,Attchd,RFn,2.0,608.0,Y,WD ,211000
92,550,531452260,60,RL,Pave,Lvl,SawyerW,RRAe,7,1994,1994,0.0,Gd,TA,PConc,36.0,754.0,Ex,Y,SBrkr,1540,2,1,Gd,6,Typ,0,Attchd,RFn,2.0,495.0,Y,WD ,184000
93,811,906226100,90,RL,Pave,Bnk,SawyerW,Norm,5,1979,1979,0.0,TA,TA,Slab,0.0,0.0,TA,Y,SBrkr,1535,2,0,TA,8,Typ,0,Attchd,Unf,2.0,400.0,Y,WD ,118858
94,124,534403410,80,RL,Pave,Lvl,NAmes,Norm,5,1964,1964,86.0,TA,TA,PConc,1014.0,1152.0,TA,Y,SBrkr,1152,1,0,TA,6,Typ,1,Attchd,RFn,2.0,484.0,Y,WD ,180500
95,1836,533206060,120,FV,Pave,Lvl,Somerst,Norm,8,2006,2007,30.0,Gd,TA,PConc,60.0,1141.0,Ex,Y,SBrkr,1151,2,0,Gd,5,Typ,0,Attchd,Fin,2.0,484.0,Y,New,166000
96,779,905200350,80,RL,Pave,Lvl,Sawyer,Norm,6,1960,1960,54.0,TA,TA,CBlock,588.0,1138.0,Ex,Y,SBrkr,1138,1,0,TA,6,Typ,1,Attchd,RFn,2.0,480.0,Y,COD,148000
97,1886,534276180,20,RL,Pave,Lvl,NAmes,Norm,5,1956,1956,0.0,TA,TA,CBlock,438.0,894.0,Gd,Y,SBrkr,1074,1,0,Gd,6,Min1,1,Detchd,Unf,2.0,396.0,Y,WD ,124000
98,1724,528186090,120,RL,Pave,Lvl,NridgHt,Norm,9,2005,2005,246.0,Ex,TA,PConc,1153.0,1561.0,Ex,Y,SBrkr,1561,2,0,Ex,6,Typ,1,Attchd,Fin,2.0,556.0,Y,WD ,277500
99,2450,528358030,60,RL,Pave,Lvl,NoRidge,Norm,8,1995,1995,397.0,Gd,TA,PConc,527.0,1342.0,Ex,Y,SBrkr,2726,2,1,Gd,9,Typ,1,Attchd,RFn,3.0,725.0,Y,WD ,350000
100,1013,527214030,20,RL,Pave,HLS,StoneBr,Norm,9,2004,2004,296.0,Ex,TA,PConc,1337.0,1884.0,Ex,Y,SBrkr,1884,2,0,Ex,7,Typ,1,Attchd,Fin,3.0,670.0,Y,WD ,387000
101,2084,905476170,30,RL,Pave,Lvl,Edwards,Norm,4,1920,2002,0.0,TA,TA,BrkTil,348.0,528.0,Ex,Y,SBrkr,605,1,0,TA,5,Typ,0,NA,NA,0.0,0.0,N,WD ,86000
102,1184,533350120,20,RL,Pave,Lvl,Veenker,Norm,8,1976,2007,0.0,Ex,Ex,CBlock,1044.0,1426.0,Ex,Y,SBrkr,1671,3,0,Ex,6,Typ,1,Attchd,RFn,2.0,550.0,Y,WD ,290000
103,728,902477130,30,C (all),Pave,Lvl,IDOTRR,Norm,3,1900,1950,0.0,TA,Fa,CBlock,0.0,245.0,TA,N,SBrkr,797,1,0,TA,5,Typ,0,NA,NA,0.0,0.0,N,WD ,44000
104,950,914474070,60,RL,Pave,Lvl,Mitchel,Norm,6,2001,2002,0.0,TA,TA,PConc,690.0,804.0,Ex,Y,SBrkr,1961,2,1,Gd,7,Typ,1,BuiltIn,Fin,2.0,560.0,Y,WD ,215000
105,2524,534125210,190,RL,Pave,Lvl,NWAmes,RRAn,5,1972,1972,144.0,TA,TA,CBlock,962.0,1153.0,Ex,Y,SBrkr,1193,2,0,TA,6,Typ,0,Attchd,Fin,2.0,501.0,Y,WD ,146500
106,2513,533223080,160,FV,Pave,Lvl,Somerst,Norm,7,2000,2000,0.0,Gd,TA,PConc,641.0,673.0,Ex,Y,SBrkr,1382,2,1,Gd,6,Typ,0,Detchd,Unf,2.0,490.0,Y,WD ,165000
107,2028,903427040,50,RM,Pave,Lvl,OldTown,Artery,6,1916,1950,0.0,TA,Gd,BrkTil,168.0,714.0,TA,N,SBrkr,2526,2,0,Gd,10,Typ,1,Detchd,Unf,1.0,216.0,Y,CWD,136000
108,2309,526303060,20,RL,Pave,Low,NAmes,Norm,6,1957,1957,902.0,TA,TA,CBlock,1110.0,1705.0,Ex,Y,SBrkr,1390,1,1,Ex,4,Min1,2,Attchd,Unf,2.0,550.0,Y,WD ,252000
109,51,528188120,160,RL,Pave,Lvl,NridgHt,Norm,7,2003,2003,106.0,Gd,TA,PConc,0.0,764.0,Ex,Y,SBrkr,1626,2,1,Gd,6,Typ,0,BuiltIn,RFn,2.0,474.0,Y,WD ,175500
110,699,902106010,70,RM,Pave,Lvl,OldTown,Norm,5,1939,1950,0.0,TA,TA,BrkTil,421.0,690.0,TA,Y,FuseA,1558,1,1,TA,7,Typ,1,Detchd,Unf,2.0,400.0,Y,WD ,150000
